Project Name,Package Name,Type Name,Method Name,Code Smell
books-core,com.sismics.util,ResourceUtil,list,Complex Method
books-core,com.sismics.util,ResourceUtil,list,Magic Number
books-core,com.sismics.util,LocaleUtil,getLocale,Magic Number
books-core,com.sismics.util,LocaleUtil,getLocale,Magic Number
books-core,com.sismics.util,LocaleUtil,getLocale,Magic Number
books-core,com.sismics.util,HttpUtil,readUrlIntoString,Empty catch clause
books-core,com.sismics.util,HttpUtil,postUrl,Empty catch clause
books-core,com.sismics.util,HttpUtil,postUrl,Empty catch clause
books-core,com.sismics.books.core.dao.jpa,UserDao,findAll,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserBookDao,getUserBook,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserBookDao,getByBook,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserBookDao,findByCriteria,Complex Method
books-core,com.sismics.books.core.dao.jpa,UserBookDao,findByCriteria,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserBookDao,findByCriteria,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserBookDao,findByCriteria,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserAppDao,deleteByUserIdAndAppId,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserAppDao,findByUserId,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserAppDao,findByUserId,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserAppDao,findConnectedByUserId,Long Statement
books-core,com.sismics.books.core.dao.jpa,UserAppDao,findByAppId,Long Statement
books-core,com.sismics.books.core.util.math,MathUtilTest,testRandomHexColor,Magic Number
books-core,com.sismics.books.core.util.math,MathUtil,interpolate,Long Parameter List
books-core,com.sismics.books.core.util.math,MathUtil,randomHexColor,Magic Number
books-core,com.sismics.books.core.util.math,MathUtil,randomHexColor,Magic Number
books-core,com.sismics.books.core.util.math,MathUtil,randomHexColor,Magic Number
books-core,com.sismics.util.jpa,DbOpenHelper,open,Long Statement
books-core,com.sismics.util.jpa,SuppliedConnectionProviderConnectionHelper,prepare,Empty catch clause
books-core,com.sismics.util.log4j,MemoryAppender,append,Long Statement
books-core,com.sismics.util.log4j,MemoryAppender,find,Complex Conditional
books-core,com.sismics.util.log4j,MemoryAppender,find,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBook,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBook,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithGoogle,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBookWithGoogle,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithGoogle,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Long Statement
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,searchBookWithOpenLibrary,Magic Number
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Long Statement
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Magic Number
books-core,com.sismics.books.core.service,BookDataService,downloadThumbnail,Magic Number
books-core,com.sismics.books.core.service,BookDataService,shutDown,Magic Number
books-core,com.sismics.books.core.service,FacebookService,validatePermission,Complex Method
books-core,com.sismics.books.core.service,FacebookService,synchronizeContact,Complex Method
books-core,com.sismics.books.core.service,FacebookService,synchronizeContact,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util,StreamUtil,detectGzip,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Complex Conditional
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Long Statement
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.util.mime,MimeTypeUtil,guessMimeType,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Complex Method
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,on,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Complex Method
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.listener.async,BookImportAsyncListener,run,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBook,hashCode,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBook,equals,Complex Method
books-core,com.sismics.books.core.model.jpa,UserBookTag,hashCode,Magic Number
books-core,com.sismics.books.core.model.jpa,UserBookTag,equals,Complex Method
